scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"mongodb-restart","2026-04-18T05:48:13.217Z","fault","6","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"mongodb-restart","2026-04-18T05:48:13.221Z","fault","6","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","5",""
"mongodb-restart","2026-04-18T05:48:13.221Z","fault","6","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"mongodb-restart","2026-04-18T05:48:13.409Z","fault","6","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","193",""
"mongodb-restart","2026-04-18T05:48:14.716Z","fault","6","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:15.216Z","fault","7","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:16.716Z","fault","7","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:17.215Z","fault","8","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:18.714Z","fault","8","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:19.215Z","fault","9","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:19.216Z","fault","9","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:19.216Z","fault","9","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:20.715Z","fault","9","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:20.716Z","fault","9","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:20.716Z","fault","9","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:20.716Z","fault","9","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:21.215Z","fault","10","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:21.215Z","fault","10","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:21.215Z","fault","10","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:22.715Z","fault","10","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:22.715Z","fault","10","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:22.715Z","fault","10","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:22.715Z","fault","10","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:23.216Z","fault","11","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","2",""
"mongodb-restart","2026-04-18T05:48:23.216Z","fault","11","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:23.216Z","fault","11","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","2",""
"mongodb-restart","2026-04-18T05:48:24.715Z","fault","11","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:24.715Z","fault","11","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:24.715Z","fault","11","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:24.715Z","fault","11","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:25.215Z","fault","12","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:25.216Z","fault","12","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:25.216Z","fault","12","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:26.715Z","fault","12","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:26.715Z","fault","12","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:26.715Z","fault","12","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:26.715Z","fault","12","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:27.215Z","fault","13","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:27.215Z","fault","13","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:27.216Z","fault","13","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:28.714Z","fault","13","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:28.714Z","fault","13","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:28.714Z","fault","13","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:28.715Z","fault","13","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:29.215Z","fault","14","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:29.216Z","fault","14","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:29.216Z","fault","14","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:30.715Z","fault","14","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:30.715Z","fault","14","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:30.716Z","fault","14","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:30.716Z","fault","14","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:31.215Z","fault","15","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:31.215Z","fault","15","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","1",""
"mongodb-restart","2026-04-18T05:48:31.215Z","fault","15","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:32.715Z","fault","15","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:32.715Z","fault","15","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1501","This operation was aborted"
