scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:49:39.397Z","fault","6","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","1",""
"cpu-throttle","2026-04-18T05:49:39.400Z","fault","6","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","4",""
"cpu-throttle","2026-04-18T05:49:39.401Z","fault","6","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","5",""
"cpu-throttle","2026-04-18T05:49:39.516Z","fault","6","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","120",""
"cpu-throttle","2026-04-18T05:49:39.515Z","fault","6","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","119",""
"cpu-throttle","2026-04-18T05:49:41.398Z","fault","7","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:41.412Z","fault","7","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:49:41.412Z","fault","7","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
"cpu-throttle","2026-04-18T05:49:41.520Z","fault","7","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","123",""
"cpu-throttle","2026-04-18T05:49:41.519Z","fault","7","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","122",""
"cpu-throttle","2026-04-18T05:49:41.809Z","fault","7","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","412",""
"cpu-throttle","2026-04-18T05:49:41.708Z","fault","7","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","311",""
"cpu-throttle","2026-04-18T05:49:43.398Z","fault","8","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","0",""
"cpu-throttle","2026-04-18T05:49:43.412Z","fault","8","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","14",""
"cpu-throttle","2026-04-18T05:49:43.412Z","fault","8","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","14",""
"cpu-throttle","2026-04-18T05:49:43.519Z","fault","8","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","121",""
"cpu-throttle","2026-04-18T05:49:43.518Z","fault","8","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","120",""
"cpu-throttle","2026-04-18T05:49:43.811Z","fault","8","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","413",""
"cpu-throttle","2026-04-18T05:49:43.708Z","fault","8","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","310",""
"cpu-throttle","2026-04-18T05:49:45.399Z","fault","9","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:45.499Z","fault","9","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","101",""
"cpu-throttle","2026-04-18T05:49:45.500Z","fault","9","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","101",""
"cpu-throttle","2026-04-18T05:49:45.612Z","fault","9","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","214",""
"cpu-throttle","2026-04-18T05:49:45.610Z","fault","9","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","212",""
"cpu-throttle","2026-04-18T05:49:45.902Z","fault","9","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","504",""
"cpu-throttle","2026-04-18T05:49:45.798Z","fault","9","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","399",""
"cpu-throttle","2026-04-18T05:49:47.399Z","fault","10","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:49:47.408Z","fault","10","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","10",""
